season,consistency,n_weeks,system,judge_save_mode,k_bottom
1,0.94,4,rank,FALSE,1
2,0.96,7,rank,FALSE,1
3,0.94,8,percentage,FALSE,1
4,0.94,8,percentage,FALSE,1
5,0.95,9,percentage,FALSE,1
6,0.97,8,percentage,FALSE,1
7,0.94,8,percentage,FALSE,1
8,0.98,9,percentage,FALSE,1
9,0.93,9,percentage,FALSE,1
10,0.94,8,percentage,FALSE,1
11,0.98,9,percentage,FALSE,1
12,0.96,8,percentage,FALSE,1
13,0.94,9,percentage,FALSE,1
14,0.93,8,percentage,FALSE,1
15,0.93,7,percentage,FALSE,1
16,0.94,8,percentage,FALSE,1
17,0.93,8,percentage,FALSE,1
18,0.97,7,percentage,FALSE,1
19,0.96,9,percentage,FALSE,1
20,0.96,8,percentage,FALSE,1
21,0.97,6,percentage,FALSE,1
22,0.94,7,percentage,FALSE,1
23,0.96,8,percentage,FALSE,1
24,0.94,8,percentage,FALSE,1
25,0.94,7,percentage,FALSE,1
26,0.93,3,percentage,FALSE,1
27,0.93,7,percentage,FALSE,1
28,0.97,7,rank,TRUE,2
29,0.95,9,rank,TRUE,2
30,0.97,8,rank,TRUE,2
31,0.96,9,rank,TRUE,2
32,0.98,9,rank,TRUE,2
33,0.97,6,rank,TRUE,2
34,0.93,8,rank,TRUE,2
