season,smooth_pairs,smooth_penalty,smooth_score
1,20,0.021114092297197885,0.9788859077028021
2,42,0.005796038449676047,0.994203961550324
3,53,0.00860737529075149,0.9913926247092485
4,63,0.005364924985748658,0.9946350750142513
5,63,0.0038034265651304905,0.9961965734348696
6,64,0.0037414427734694033,0.9962585572265306
7,62,0.0037499545398193223,0.9962500454601807
8,78,0.002845320149207725,0.9971546798507923
9,76,0.0027268963322859374,0.997273103667714
10,63,0.003946217879970928,0.996053782120029
11,63,0.002827098827947621,0.9971729011720524
12,63,0.003836256901848662,0.9961637430981514
13,63,0.0039120515033324674,0.9960879484966675
14,70,0.002631976240468737,0.9973680237595313
15,70,0.0016355584262805172,0.9983644415737195
16,72,0.0018352725166444102,0.9981647274833556
17,80,0.0010686909951577474,0.9989313090048423
18,68,0.0010581021675192957,0.9989418978324807
19,81,0.0019219149152277354,0.9980780850847722
20,70,0.0028081529728032325,0.9971918470271968
21,80,0.0006154878382585516,0.9993845121617414
22,73,0.0023495802861978545,0.9976504197138022
23,84,0.0013740330913258399,0.9986259669086741
24,69,0.0030155556228512246,0.9969844443771487
25,77,0.001433231674838301,0.9985667683251617
26,17,0.006916916044888913,0.9930830839551111
27,69,0.00088084972306285,0.9991191502769371
28,80,0.00023663355758586147,0.9997633664424141
29,100,0.001044147776553385,0.9989558522234466
30,90,0.0019420087602497556,0.9980579912397503
31,91,0.0005597652760211609,0.9994402347239788
32,86,0.0,1.0
33,64,0.0011412061072245232,0.9988587938927754
34,92,0.0004197939405840401,0.999580206059416
