season,smooth_pairs,smooth_penalty,smooth_score
1,20,0.021114092,0.9739
2,42,0.005796038,0.9552
3,53,0.008607375,0.9612
4,63,0.005364925,0.9826
5,63,0.003803427,0.9645
6,64,0.003741443,0.9693
7,62,0.003749955,0.9869
8,78,0.00284532,0.9727
9,76,0.002726896,0.9533
10,63,0.003946218,0.9636
11,63,0.002827099,0.9571
12,63,0.003836257,0.9748
13,63,0.003912052,0.9829
14,70,0.002631976,0.9863
15,70,0.001635558,0.9777
16,72,0.001835273,0.9862
17,80,0.001068691,0.951
18,68,0.001058102,0.9885
19,81,0.001921915,0.9548
20,70,0.002808153,0.9719
21,80,0.000615488,0.9505
22,73,0.00234958,0.9565
23,84,0.001374033,0.9641
24,69,0.003015556,0.9884
25,77,0.001433232,0.9601
26,17,0.006916916,0.9685
27,69,0.00088085,0.9741
28,80,0.000236634,0.964
29,100,0.001044148,0.9553
30,90,0.001942009,0.954
31,91,0.000559765,0.9714
32,86,0,0.9654
33,64,0.001141206,0.9829
34,92,0.000419794,0.9572
