season,week,n_active,n_elim,actual_elim,pred_pct,pred_rank,pct_match,rank_match,same_pred,V_elim_pct,V_elim_rank,pct_more_audience,rank_more_audience,margin_pct,margin_rank
1,2,6,1,Trista Sutter,Trista Sutter,Trista Sutter,1,1,1,3.343603379314109e-07,3.343603379314109e-07,0,0,0.10392265942777368,0.07142857142857142
1,3,5,1,Evander Holyfield,Evander Holyfield,Evander Holyfield,1,1,1,1.3723064287595906e-05,1.3723064287595906e-05,0,0,0.17298537947770126,0.16666666666666669
1,4,4,1,Rachel Hunter,Rachel Hunter,Rachel Hunter,1,1,1,1.10525093382123e-05,1.10525093382123e-05,0,0,0.14366215931916998,0.04999999999999999
1,5,3,1,Joey McIntyre,Joey McIntyre,Joey McIntyre,1,1,1,0.106119780261994,0.106119780261994,0,0,0.18244992669946009,0.24999999999999997
2,1,10,1,Kenny Mayne,Kenny Mayne,Kenny Mayne,1,1,1,3.961356157551924e-09,3.961356157551924e-09,0,0,0.06407669629846062,0.07272727272727274
2,2,9,1,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,1,1,1,3.921138034314785e-08,3.921138034314785e-08,0,0,0.07033553366422235,0.07777777777777778
2,3,8,1,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez,1,1,1,2.2350543812120164e-08,2.2350543812120164e-08,0,0,0.06579985024570036,0.0625
2,4,7,1,Master P,Master P,Master P,1,1,1,1.2441062204673323e-09,1.2441062204673323e-09,0,0,0.13472151936724774,0.11607142857142856
2,5,6,1,Tia Carrere,Tia Carrere,Tia Carrere,1,1,1,5.9482317626664405e-09,5.9482317626664405e-09,0,0,0.11231581101656127,0.14285714285714285
2,6,5,1,George Hamilton,George Hamilton,George Hamilton,1,1,1,3.034438267405334e-07,3.034438267405334e-07,0,0,0.14032839940439185,0.13333333333333333
2,7,4,1,Lisa Rinna,Lisa Rinna,Lisa Rinna,1,1,1,0.0005630993703977,0.0005630993703977,0,0,0.15390176879409248,0.09999999999999998
3,1,11,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,1,1,1,1.2090227121843651e-09,1.2090227121843651e-09,0,0,0.06879612535863525,0.07954545454545454
3,2,10,1,Shanna Moakler,Shanna Moakler,Shanna Moakler,1,1,1,8.436600871807134e-10,8.436600871807134e-10,0,0,0.057926984833238396,0.03636363636363635
3,3,9,1,Harry Hamlin,Harry Hamlin,Harry Hamlin,1,1,1,7.083922361923969e-13,7.083922361923969e-13,0,0,0.0651725019133339,0.04444444444444444
3,4,8,1,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,1,1,1,1.223559388631079e-08,1.223559388631079e-08,0,0,0.0735490414370305,0.05555555555555555
3,5,7,2,Willa Ford | Sara Evans,Sara Evans | Willa Ford,Sara Evans | Willa Ford,1,1,1,1.2487838053975535e-09,1.2487838053975535e-09,0,0,0.09722252356708173,0.0357142857142857
3,7,5,1,Jerry Springer,Jerry Springer,Jerry Springer,1,1,1,3.668073378825357e-09,3.668073378825357e-09,0,0,0.14349778795564677,0.15000000000000002
3,8,4,1,Monique Coleman,Monique Coleman,Monique Coleman,1,1,1,1.6011472328489196e-07,1.6011472328489196e-07,0,0,0.17122946010272727,0.17500000000000002
3,9,3,1,Joey Lawrence,Joey Lawrence,Joey Lawrence,1,1,1,0.0001016857481522,0.0001016857481522,0,0,0.249919552360019,0.08333333333333331
4,2,11,1,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova,1,1,1,7.809973076309825e-10,7.809973076309825e-10,0,0,0.05281062817777525,0.04545454545454546
4,3,10,1,Shandi Finnessey,Shandi Finnessey,Shandi Finnessey,1,1,1,1.705623179423292e-09,1.705623179423292e-09,0,0,0.05753194871757172,0.05
4,4,9,1,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,1,1,1,1.0920328169506003e-09,1.0920328169506003e-09,0,0,0.07754078211216259,0.07222222222222223
4,5,8,1,Clyde Drexler,Clyde Drexler,Clyde Drexler,1,1,1,1.8546631013192603e-09,1.8546631013192603e-09,0,0,0.10053091376645776,0.11111111111111112
4,6,7,1,Heather Mills,Heather Mills,Heather Mills,1,1,1,1.3467335430509083e-09,1.3467335430509083e-09,0,0,0.08767728472766838,0.07142857142857142
4,7,6,1,John Ratzenberger,John Ratzenberger,John Ratzenberger,1,1,1,1.2551205029850252e-08,1.2551205029850252e-08,0,0,0.11249278565873568,0.09523809523809523
4,8,5,1,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,1,1,1,2.468988287520738e-07,2.468988287520738e-07,0,0,0.1552611125142515,0.16666666666666669
4,9,4,1,Ian Ziering,Ian Ziering,Ian Ziering,1,1,1,9.8320528447057e-07,9.8320528447057e-07,0,0,0.17017188572696945,0.17500000000000002
5,1,12,1,Josie Maran,Josie Maran,Josie Maran,1,1,1,2.600016417985829e-09,2.600016417985829e-09,0,0,0.05690974629759779,0.06410256410256411
5,2,11,1,Albert Reed,Albert Reed,Albert Reed,1,1,1,1.296537491628247e-09,1.296537491628247e-09,0,0,0.051408713080327614,0.03787878787878789
5,3,10,1,Wayne Newton,Wayne Newton,Wayne Newton,1,1,1,3.9335028979877e-09,3.9335028979877e-09,0,0,0.06921863062677516,0.08181818181818182
5,4,9,1,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,1,1,1,2.907849476149062e-10,2.907849476149062e-10,0,0,0.06966459520046187,0.07777777777777778
5,5,8,1,Mark Cuban,Mark Cuban,Mark Cuban,1,1,1,3.0203624151128635e-10,3.0203624151128635e-10,0,0,0.08250224827220581,0.09722222222222222
5,6,7,1,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,1,1,1,4.600245273949843e-10,4.600245273949843e-10,0,0,0.08559861228381799,0.0625
