layer,head,head_index,fetv128_period_mean,fetv128_period_std,fetv128_dominant_period,fetv128_is_cycle6,step128_period_mean,step128_period_std,step128_dominant_period,step128_is_cycle6,chronomagic150_period_mean,chronomagic150_period_std,chronomagic150_dominant_period,chronomagic150_is_cycle6,best_label
0,0,0,9.327922,1.102515,9.714286,0,9.327922,1.102515,9.714286,0,9.196190,1.249693,9.714286,0,-1
0,1,1,7.193608,1.977908,6.800000,0,7.197058,1.996919,6.800000,0,7.004000,1.428000,6.800000,0,1
0,2,2,5.421655,1.348324,6.181818,0,5.090385,1.535150,6.181818,0,5.436364,1.384638,6.181818,0,1
0,3,3,4.038777,3.062657,3.090909,0,3.872008,1.571185,3.090909,0,4.176111,1.836791,3.090909,0,1
0,4,4,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
0,5,5,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
0,6,6,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
0,7,7,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
0,8,8,5.048723,2.925674,3.090909,0,4.516049,1.825354,3.090909,0,4.653276,2.520021,3.090909,0,1
0,9,9,9.200667,1.235867,9.714286,0,8.977378,1.522763,9.714286,0,9.242372,3.978837,9.714286,0,-1
0,10,10,45.232143,28.437044,68.000000,0,45.687500,28.331120,68.000000,0,47.794286,27.738666,68.000000,0,-1
0,11,11,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
1,0,12,6.568182,1.102515,6.181818,0,6.485390,0.990051,6.181818,1,6.652814,1.200808,6.181818,0,-1
1,1,13,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
1,2,14,6.457792,0.948002,6.181818,1,6.574736,1.354724,6.181818,0,6.397887,0.839382,6.181818,1,-1
1,3,15,6.816558,1.356209,6.181818,0,6.899351,1.421199,6.181818,0,6.841212,1.376404,6.181818,0,-1
1,4,16,6.430195,0.903156,6.181818,1,6.237013,0.438095,6.181818,1,6.346667,0.745082,6.181818,1,-1
1,5,17,9.233248,0.947202,9.714286,0,9.317535,0.866001,9.714286,0,8.765075,1.323445,9.714286,0,-1
1,6,18,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
1,7,19,7.689945,3.281555,9.714286,0,8.110422,4.423585,9.714286,0,6.634618,3.159396,9.714286,0,1
1,8,20,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
1,9,21,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
1,10,22,6.868304,1.372353,6.181818,0,7.207752,1.599207,6.181818,0,7.126753,1.630326,6.181818,0,-1
1,11,23,8.428419,1.956138,9.714286,0,7.200335,2.327535,6.181818,0,7.759081,2.311700,9.714286,0,1
2,0,24,7.321168,3.137854,9.714286,0,6.875114,2.980874,9.714286,0,6.688409,3.742178,9.714286,0,1
2,1,25,8.892573,1.616353,9.714286,0,8.158482,1.968502,9.714286,0,7.453506,1.991698,6.181818,0,-1
2,2,26,15.346889,7.994005,22.666667,0,13.152621,7.861563,6.181818,0,14.873275,8.040271,22.666667,0,-1
2,3,27,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
2,4,28,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
2,5,29,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
2,6,30,8.902792,2.487735,9.714286,0,8.716149,2.312308,9.714286,0,7.787573,2.885678,9.714286,0,2
2,7,31,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
2,8,32,6.237013,0.438095,6.181818,1,6.319805,0.684393,6.181818,1,6.205368,0.287462,6.181818,1,-1
2,9,33,6.191477,0.076667,6.181818,1,6.168479,0.271095,6.181818,1,6.227152,0.161149,6.181818,1,1
2,10,34,5.988636,0.748190,6.181818,1,6.118430,0.417630,6.181818,1,5.790303,1.028034,6.181818,0,-1
2,11,35,6.237013,0.438095,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
3,0,36,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
3,1,37,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
3,2,38,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
3,3,39,5.358611,1.342582,6.181818,0,5.423742,1.363831,6.181818,0,5.289677,1.465841,6.181818,0,1
3,4,40,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
3,5,41,9.621501,4.137298,13.600000,0,10.067631,4.008351,13.600000,0,8.652853,4.300336,13.600000,0,1
3,6,42,6.879612,3.543536,9.714286,0,7.371107,3.228544,9.714286,0,6.297075,3.470782,9.714286,0,1
3,7,43,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
3,8,44,6.239773,0.653115,6.181818,1,6.167330,0.283548,6.181818,1,6.254038,0.657478,6.181818,1,-1
3,9,45,6.161951,1.380632,6.181818,1,5.832120,1.610245,6.181818,0,5.608460,1.490620,6.181818,0,1
3,10,46,9.148569,1.677637,9.714286,0,8.702997,2.120487,9.714286,0,7.999646,2.638459,9.714286,0,1
3,11,47,6.299797,0.783555,6.181818,1,6.237013,0.438095,6.181818,1,6.357853,1.074866,6.181818,1,-1
4,0,48,6.264610,0.534421,6.181818,1,6.209416,0.311007,6.181818,1,6.260710,0.498435,6.181818,1,-1
4,1,49,9.367627,6.756253,6.181818,0,10.933752,7.950394,22.666667,0,8.169751,5.275948,9.714286,0,1
4,2,50,7.214421,1.746478,6.181818,0,6.854505,1.550340,6.181818,0,7.032554,1.873441,6.181818,0,1
4,3,51,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,2
4,4,52,6.010337,0.724714,6.181818,1,6.196307,0.093524,6.181818,1,6.002447,0.729215,6.181818,1,-1
4,5,53,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
4,6,54,8.707032,3.701908,6.800000,0,9.285361,4.231938,6.181818,0,8.256428,3.688730,6.800000,0,1
4,7,55,6.263332,0.573553,6.181818,1,6.261161,0.451228,6.181818,1,6.280028,0.831567,6.181818,1,-1
4,8,56,7.192854,4.124485,6.181818,0,6.697030,4.341025,3.090909,0,5.573732,3.106078,3.090909,0,1
4,9,57,5.472312,1.280918,6.181818,0,5.294973,1.407568,6.181818,0,4.742218,1.492968,6.181818,0,-1
4,10,58,7.647041,1.704178,6.181818,0,7.025264,1.342319,6.181818,0,7.771800,1.914819,9.714286,0,-1
4,11,59,7.627065,1.853401,6.181818,0,7.151177,1.626195,6.181818,0,7.368863,1.829335,6.181818,0,1
5,0,60,6.454343,2.483227,6.181818,0,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
5,1,61,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
5,2,62,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
5,3,63,6.357041,2.191667,6.181818,0,6.517343,2.397517,6.181818,0,5.822540,2.456106,6.181818,0,-1
5,4,64,6.209416,0.311007,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
5,5,65,16.767894,6.598460,22.666667,0,15.288990,6.662368,9.714286,0,17.707802,6.669040,22.666667,0,-1
5,6,66,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
5,7,67,6.310606,1.451366,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
5,8,68,6.945059,1.782742,6.181818,0,6.530970,1.710825,6.181818,0,6.620605,1.637493,6.181818,0,1
5,9,69,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
5,10,70,6.191477,0.076667,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
5,11,71,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
6,0,72,6.534950,1.273060,6.181818,0,6.329809,0.610279,6.181818,1,6.431282,1.227006,6.181818,1,-1
6,1,73,6.788044,3.220403,9.714286,0,6.590947,3.140038,9.714286,0,6.030309,2.984761,9.714286,0,-1
6,2,74,7.271571,1.613659,6.181818,0,7.727273,1.752381,6.181818,0,6.969951,1.578257,6.181818,0,-1
6,3,75,4.333548,2.197418,3.090909,0,4.221751,1.974949,3.090909,0,4.490515,2.059132,3.090909,0,1
6,4,76,4.768583,1.549495,6.181818,0,5.149615,2.166472,6.181818,0,5.009435,1.555222,6.181818,0,1
6,5,77,6.476226,3.290167,9.714286,0,7.373681,3.071523,9.714286,0,5.810831,3.204175,9.714286,0,1
6,6,78,5.386341,2.860710,3.090909,0,5.715658,2.990080,3.090909,0,4.658507,2.319037,3.090909,0,1
6,7,79,6.158820,0.259172,6.181818,1,6.110525,0.460319,6.181818,1,6.151769,0.409365,6.181818,1,-1
6,8,80,9.029857,1.908651,9.714286,0,9.114712,1.752607,9.714286,0,8.529686,2.228717,9.714286,0,1
6,9,81,7.230519,1.613917,6.181818,0,7.221033,1.602820,6.181818,0,7.322020,1.768537,6.181818,0,-1
6,10,82,4.449907,2.029559,3.090909,0,4.033584,1.649570,3.090909,0,4.379780,1.813446,3.090909,0,1
6,11,83,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,2
7,0,84,6.209416,0.311007,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
7,1,85,8.118236,1.799877,9.714286,0,7.451299,1.694939,6.181818,0,7.727371,1.894212,6.181818,0,1
7,2,86,6.192551,0.120947,6.181818,1,6.181818,0.000000,6.181818,1,6.276017,0.569106,6.181818,1,-1
7,3,87,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,2
7,4,88,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
7,5,89,3.908761,1.898466,3.090909,0,3.779860,1.827748,3.090909,0,3.668985,1.388472,3.090909,0,1
7,6,90,3.610662,1.475017,3.090909,0,3.653626,1.510151,3.090909,0,3.427019,1.250170,3.090909,0,1
7,7,91,7.392654,2.844138,6.181818,0,7.120130,1.560169,6.181818,0,7.524156,1.714612,6.181818,0,-1
7,8,92,6.102939,0.606789,6.181818,1,6.095134,0.618036,6.181818,1,5.881750,0.837862,6.181818,1,2
7,9,93,6.773468,2.153495,6.181818,0,6.550133,2.443215,6.181818,0,6.573829,2.299620,6.181818,0,1
7,10,94,7.665077,7.439246,2.956522,0,8.760664,7.847714,2.956522,0,6.110410,5.758108,2.956522,0,1
7,11,95,8.645240,3.816747,9.714286,0,8.263975,4.085301,9.714286,0,8.693691,4.537751,9.714286,0,-1
8,0,96,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
8,1,97,6.191477,0.076667,6.181818,1,6.209416,0.311007,6.181818,1,6.287792,0.677645,6.181818,1,-1
8,2,98,6.292208,0.614623,6.181818,1,6.185268,0.414866,6.181818,1,6.440866,0.920854,6.181818,1,-1
8,3,99,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
8,4,100,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,2
8,5,101,6.237013,0.438095,6.181818,1,6.209416,0.311007,6.181818,1,6.228918,0.405166,6.181818,1,-1
8,6,102,5.533058,2.232058,6.181818,0,5.517023,2.281749,6.181818,0,5.271854,2.148227,6.181818,0,1
8,7,103,6.497808,0.905169,6.181818,1,6.217465,0.782726,6.181818,1,6.962716,2.798430,6.181818,0,-1
8,8,104,10.847203,3.482435,9.714286,0,10.210459,4.055888,9.714286,0,9.219596,2.739030,9.714286,0,1
8,9,105,6.157670,0.272131,6.181818,1,6.167330,0.283548,6.181818,1,6.140606,0.354520,6.181818,1,1
8,10,106,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,2
8,11,107,6.325325,0.967847,6.181818,1,6.297727,0.920000,6.181818,1,6.821784,1.939266,6.181818,0,-1
9,0,108,6.181818,0.000000,6.181818,1,6.186648,0.054426,6.181818,1,6.181818,0.000000,6.181818,1,-1
9,1,109,6.120284,1.224079,6.181818,1,6.158920,1.160337,6.181818,1,6.267922,0.527237,6.181818,1,1
9,2,110,9.832986,5.601646,9.714286,0,9.911711,6.041421,9.714286,0,8.567109,4.780915,8.500000,0,-1
9,3,111,6.265463,3.321783,9.714286,0,6.761416,3.449127,9.714286,0,6.608623,3.350755,9.714286,0,2
9,4,112,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
9,5,113,9.339248,1.347484,9.714286,0,9.256016,1.382925,9.714286,0,9.169108,1.953827,9.714286,0,1
9,6,114,5.215159,2.897055,3.090909,0,6.184369,3.362707,9.714286,0,5.574105,2.937404,9.714286,0,2
9,7,115,7.657417,2.245750,6.181818,0,7.484588,2.372204,6.181818,0,8.014911,2.822011,6.181818,0,1
9,8,116,6.237013,0.438095,6.181818,1,6.237013,0.438095,6.181818,1,6.393766,0.838915,6.181818,1,-1
9,9,117,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
9,10,118,6.196307,0.093524,6.181818,1,6.191477,0.076667,6.181818,1,6.175379,0.349879,6.181818,1,-1
9,11,119,6.043418,5.663695,3.090909,0,7.006025,5.764265,3.090909,0,5.602678,3.951095,3.090909,0,1
10,0,120,7.866712,3.078177,6.181818,0,7.780570,3.099759,6.181818,0,7.308071,2.583155,6.181818,0,-1
10,1,121,4.530839,3.529934,3.090909,0,4.696527,3.821209,3.090909,0,5.739036,4.452120,3.090909,0,1
10,2,122,4.983817,3.157106,2.956522,0,5.369911,3.718979,2.956522,0,7.151475,3.954043,6.800000,0,1
10,3,123,6.360511,0.280239,6.181818,1,6.359304,0.330160,6.181818,1,6.472707,0.637294,6.181818,1,1
10,4,124,3.677839,2.080271,3.090909,0,4.392985,4.232540,3.090909,0,4.306216,2.618430,3.090909,0,1
10,5,125,3.744521,2.070281,3.090909,0,3.897455,3.315272,3.090909,0,4.510589,3.295763,3.090909,0,1
10,6,126,8.781100,6.157244,6.181818,0,8.294479,5.254856,6.181818,0,6.791781,4.385374,6.181818,0,1
10,7,127,12.975751,6.814192,9.714286,0,12.536536,6.187816,9.714286,0,14.590699,7.289812,22.666667,0,1
10,8,128,6.452061,1.776120,6.181818,0,6.223061,0.774387,6.181818,1,6.246410,1.750141,6.181818,0,-1
10,9,129,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
10,10,130,6.045170,3.425856,9.714286,0,6.120686,3.412020,9.714286,0,7.169022,4.123419,9.714286,0,1
10,11,131,8.586964,1.963572,9.714286,0,7.942446,2.235753,9.714286,0,8.295790,2.204997,9.714286,0,2
11,0,132,3.494264,1.479341,3.090909,0,3.565927,1.816135,3.090909,0,3.802184,1.914574,3.090909,0,1
11,1,133,4.211405,2.626957,3.090909,0,4.632566,2.930461,3.090909,0,5.261538,3.178536,9.714286,0,2
11,2,134,7.595150,1.637108,6.181818,0,7.223088,1.627965,6.181818,0,7.046574,1.491535,6.181818,0,-1
11,3,135,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
11,4,136,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,-1
11,5,137,7.343611,3.140679,6.181818,0,7.120973,2.771005,6.181818,0,7.514800,3.112008,6.181818,0,1
11,6,138,4.503283,2.289467,3.090909,0,5.358136,2.886936,3.090909,0,5.711200,2.779846,6.181818,0,1
11,7,139,8.481710,4.516747,13.600000,0,9.148714,4.770217,13.600000,0,9.772073,4.410242,13.600000,0,1
11,8,140,6.733766,1.282611,6.181818,0,6.685471,1.358436,6.181818,0,7.429013,1.879137,6.181818,0,1
11,9,141,6.181818,0.000000,6.181818,1,6.181818,0.000000,6.181818,1,6.140606,0.354520,6.181818,1,2
11,10,142,7.640585,2.751621,9.714286,0,8.569110,2.322816,9.714286,0,7.093660,2.849859,9.714286,0,1
11,11,143,5.505979,2.897665,3.090909,0,5.922079,3.249585,3.090909,0,6.214814,2.667074,6.181818,0,1
12,0,144,6.215625,0.445969,6.181818,1,6.195703,0.552022,6.181818,1,6.214273,0.521425,6.181818,1,-1
12,1,145,4.100907,2.324747,3.090909,0,5.133143,3.023484,3.090909,0,5.896559,3.230020,9.714286,0,1
