layer,head,head_index,A_icc,A_var_target,A_var_error,B_icc,B_var_target,B_var_error,C_icc,C_var_target,C_var_error,A128_icc,A128_var_target,A128_var_error
0,0,0,0.959006,0.651817,0.0278626,0.967003,0.641758,0.0218985,0.955710,0.643335,0.0298134,0.962055,0.651716,0.025705
0,1,1,0.997103,1.75878,0.0051103,0.998573,1.78088,0.00254454,0.996966,1.74854,0.00532134,0.997444,1.76282,0.00451726
0,2,2,0.517893,0.0356059,0.0331455,0.439497,0.0265738,0.0338903,0.529012,0.0395414,0.0352044,0.484052,0.03314,0.0353237
0,3,3,0.137094,0.00254223,0.0160015,0.100445,0.00154464,0.0138333,0.146023,0.00266554,0.0155888,0.123290,0.00246071,0.0174981
0,4,4,0.998124,12.1154,0.0227725,0.999147,12.0755,0.0103102,0.998080,12.0183,0.0231167,0.998197,12.159,0.0219593
0,5,5,0.998683,14.2368,0.0187693,0.999424,14.4841,0.00834479,0.998724,14.1402,0.0180593,0.998786,14.2928,0.0173686
0,6,6,0.992225,8.68917,0.068092,0.997818,8.74019,0.0191152,0.992897,8.66344,0.0619793,0.993398,8.67211,0.0576337
0,7,7,0.992498,1.85476,0.0140204,0.996635,1.81512,0.00612863,0.992781,1.85652,0.0135006,0.993657,1.85364,0.0118318
0,8,8,0.482392,0.00456294,0.00489605,0.404691,0.0033379,0.00491012,0.473346,0.00482784,0.00537155,0.483731,0.00440851,0.00470505
0,9,9,0.929866,0.27629,0.0208388,0.929505,0.263804,0.0200071,0.935775,0.282768,0.0194073,0.929057,0.272966,0.0208437
0,10,10,0.992030,9.3883,0.0754236,0.993132,8.7173,0.060281,0.991859,9.57761,0.0786091,0.992760,9.34392,0.0681417
0,11,11,0.996561,7.63495,0.0263476,0.998068,7.76483,0.0150323,0.996389,7.48189,0.0271153,0.996725,7.71458,0.025351
1,0,12,0.523939,1.2378,1.12468,0.839409,4.21446,0.806287,0.432765,0.899574,1.17909,0.557764,1.77083,1.40404
1,1,13,0.944193,22.2078,1.3126,0.961923,14.963,0.592301,0.949432,24.715,1.31634,0.937263,20.2682,1.35668
1,2,14,0.695880,2.3395,1.02243,0.894673,5.79203,0.68188,0.596206,1.54516,1.0465,0.715848,3.24232,1.28702
1,3,15,0.645093,1.62981,0.896662,0.884530,4.93151,0.643782,0.562761,1.17396,0.912108,0.677433,2.19589,1.0456
1,4,16,0.874716,5.13446,0.735399,0.960479,8.56948,0.352614,0.846121,4.30835,0.783534,0.886955,5.73862,0.731406
1,5,17,0.731011,0.426656,0.156996,0.891225,0.357619,0.0436477,0.716689,0.433746,0.171462,0.753008,0.41275,0.135385
1,6,18,0.922611,2.0816,0.174605,0.970307,2.5062,0.0766945,0.918942,1.94073,0.171187,0.933098,2.17563,0.15599
1,7,19,0.629909,1.38565,0.814113,0.709590,1.41052,0.577276,0.601472,1.32198,0.875929,0.640001,1.43307,0.806096
1,8,20,0.961967,11.2682,0.445505,0.982062,10.3445,0.188952,0.959483,11.3259,0.478273,0.964655,11.2509,0.412236
1,9,21,0.912588,2.5386,0.24316,0.974995,3.77841,0.0969014,0.903655,2.28292,0.243398,0.922451,2.80211,0.235569
1,10,22,0.719433,0.267145,0.104182,0.895686,0.563712,0.0656514,0.680495,0.220239,0.103406,0.738794,0.320993,0.113489
1,11,23,0.853171,1.60347,0.275954,0.912148,1.93012,0.185896,0.857435,1.45954,0.242675,0.859184,1.68636,0.276385
2,0,24,0.608429,0.5246,0.337621,0.681992,0.723336,0.337287,0.599604,0.454606,0.303572,0.622765,0.591717,0.358428
2,1,25,0.807172,0.476095,0.113736,0.928695,0.800224,0.0614411,0.798357,0.427826,0.108057,0.825259,0.511052,0.108211
2,2,26,0.779488,0.507425,0.143547,0.858942,0.469015,0.0770229,0.778848,0.530951,0.150762,0.785209,0.501839,0.137276
2,3,27,0.937835,13.6018,0.901599,0.986901,23.0555,0.306021,0.927735,11.4076,0.888585,0.943702,15.4309,0.920559
2,4,28,0.922211,14.585,1.23025,0.981024,21.2962,0.41194,0.918533,12.8301,1.13794,0.935940,16.1078,1.10249
2,5,29,0.915817,4.04622,0.371934,0.972407,5.04165,0.143063,0.909623,3.93481,0.390947,0.928476,4.31021,0.332032
2,6,30,0.764392,0.636477,0.196181,0.859342,0.912227,0.149315,0.788853,0.566833,0.15172,0.778508,0.685604,0.19506
2,7,31,0.908285,10.0887,1.01871,0.980829,19.6668,0.384404,0.891015,7.81179,0.955503,0.913463,11.9821,1.13513
2,8,32,0.905791,8.25764,0.858855,0.980199,14.8171,0.299314,0.890609,6.75365,0.829531,0.912345,9.65704,0.92782
2,9,33,0.835354,1.38437,0.272856,0.939277,1.56514,0.101183,0.837198,1.38282,0.268904,0.857131,1.3884,0.231423
2,10,34,0.792701,5.83086,1.52482,0.907039,7.68038,0.787152,0.800405,6.12712,1.52791,0.816316,5.57794,1.25512
2,11,35,0.895238,11.5866,1.35587,0.972945,20.5993,0.572809,0.863648,8.72434,1.37739,0.894106,13.9302,1.64983
3,0,36,0.931419,31.9589,2.35315,0.974864,32.8115,0.846031,0.924391,29.3906,2.40397,0.943537,33.1159,1.98173
3,1,37,0.903837,1.13329,0.120575,0.960214,1.82364,0.075562,0.898341,0.97966,0.110862,0.908450,1.29423,0.130427
3,2,38,0.906200,9.45589,0.978766,0.967594,11.5426,0.386574,0.905311,9.58262,1.00227,0.920070,9.49167,0.824577
3,3,39,0.714264,0.376957,0.150799,0.846164,0.432581,0.0786447,0.649856,0.365082,0.196707,0.737030,0.40498,0.144495
3,4,40,0.970330,19.5681,0.598348,0.983640,19.0153,0.316273,0.968567,20.7899,0.674692,0.972544,18.7467,0.529235
3,5,41,0.777604,0.89982,0.25735,0.901469,1.28752,0.140727,0.764716,0.809873,0.249177,0.789407,0.980196,0.261491
3,6,42,0.738142,1.08174,0.38375,0.841545,1.20627,0.227129,0.750616,1.04869,0.348416,0.742915,1.10788,0.383379
3,7,43,0.961822,37.0854,1.47203,0.987117,45.2949,0.591157,0.960885,34.9914,1.42442,0.968828,38.1595,1.2278
3,8,44,0.764322,1.17006,0.360786,0.888196,1.80139,0.226755,0.745862,0.954943,0.325378,0.779542,1.31604,0.372184
3,9,45,0.635978,0.639994,0.36632,0.800314,0.795608,0.198512,0.627381,0.589466,0.3501,0.651669,0.6935,0.37069
3,10,46,0.753106,0.291784,0.0956567,0.905814,0.484711,0.0503998,0.713102,0.261578,0.105239,0.769474,0.329476,0.0987071
3,11,47,0.886858,0.821345,0.104784,0.948618,1.33046,0.0720642,0.880614,0.71178,0.0964967,0.898509,0.918559,0.103755
4,0,48,0.880308,3.74221,0.508811,0.942230,4.92092,0.301709,0.863155,3.2731,0.518918,0.872337,4.30056,0.629371
4,1,49,0.621578,0.864747,0.526465,0.824693,1.05902,0.225117,0.582401,0.807384,0.578919,0.647306,0.915788,0.49898
4,2,50,0.782303,1.79671,0.499982,0.893662,2.12845,0.253266,0.795347,1.89377,0.487291,0.783671,1.79335,0.495047
4,3,51,0.944909,25.4405,1.48325,0.978923,28.7412,0.618832,0.939639,23.8514,1.53217,0.952022,26.142,1.31745
4,4,52,0.828929,1.42384,0.293848,0.929631,2.19662,0.166275,0.840314,1.43463,0.272626,0.833246,1.47338,0.294861
4,5,53,0.912172,15.7064,1.51229,0.969518,19.9066,0.625866,0.903085,13.7749,1.47826,0.927726,17.2514,1.34395
4,6,54,0.801222,0.209284,0.0519222,0.889184,0.27773,0.0346127,0.776773,0.179189,0.0514948,0.820814,0.228646,0.049914
4,7,55,0.840844,0.538614,0.101949,0.934462,0.801426,0.0562078,0.810678,0.482207,0.112613,0.855584,0.593634,0.100201
4,8,56,0.634151,0.363743,0.209847,0.791460,0.432679,0.114005,0.611119,0.364991,0.232259,0.667387,0.357625,0.178234
4,9,57,0.589855,0.364976,0.25378,0.719150,0.440037,0.171848,0.574488,0.340072,0.251885,0.636389,0.395863,0.226182
4,10,58,0.872669,0.942937,0.137584,0.923653,1.38467,0.114453,0.861576,0.833419,0.1339,0.882884,1.05656,0.140154
4,11,59,0.838333,1.22846,0.2369,0.892786,1.66558,0.200018,0.829532,1.15404,0.237153,0.845299,1.27866,0.234012
5,0,60,0.904061,11.0084,1.16822,0.960698,15.9225,0.651387,0.902920,9.39222,1.00983,0.910711,12.2355,1.19961
5,1,61,0.942969,14.6161,0.883988,0.970326,18.9839,0.580561,0.931378,12.5977,0.928172,0.947624,16.1683,0.893632
5,2,62,0.971870,19.85,0.574544,0.985214,22.0684,0.331205,0.970030,19.8411,0.613014,0.975020,20.0643,0.514055
5,3,63,0.656588,0.0814928,0.0426229,0.835092,0.108615,0.0214484,0.639531,0.0840056,0.0473495,0.689906,0.0796824,0.035815
5,4,64,0.974010,12.6771,0.338268,0.991858,13.4016,0.110018,0.973657,11.9055,0.322107,0.978924,13.1475,0.283062
5,5,65,0.923943,1.44564,0.119002,0.969796,1.68738,0.0525526,0.914684,1.37851,0.128578,0.928150,1.49517,0.115744
5,6,66,0.950876,9.66012,0.499065,0.977497,12.6043,0.290162,0.942033,8.98401,0.55282,0.948520,10.4474,0.567023
5,7,67,0.898977,6.94817,0.780803,0.956735,8.75422,0.395879,0.899133,5.97252,0.670013,0.906218,7.78526,0.805672
