layer,head,head_index,A_icc,A_var_target,A_var_error,B_icc,B_var_target,B_var_error,C_icc,C_var_target,C_var_error
0,0,0,0.932971,0.386746,0.0277857,0.936245,0.375642,0.0255799,0.928772,0.380045,0.0291458
0,1,1,0.996239,1.22475,0.00462335,0.997820,1.22695,0.00268039,0.995854,1.21477,0.00505788
0,2,2,0.299654,0.0149454,0.0349301,0.162121,0.00776657,0.0401393,0.271095,0.0140776,0.0378511
0,3,3,0.048013,0.000877863,0.017406,0.000000,0,0.016633,0.053660,0.000964872,0.0170163
0,4,4,0.996894,5.76385,0.0179593,0.998403,5.74542,0.00919264,0.996807,5.75488,0.0184318
0,5,5,0.998098,7.09187,0.0135126,0.999086,7.19798,0.0065853,0.998110,7.08734,0.0134198
0,6,6,0.983657,3.69545,0.0613972,0.994785,3.7723,0.0197741,0.984572,3.687,0.0577754
0,7,7,0.990362,1.33761,0.0130177,0.995094,1.32519,0.00653301,0.990238,1.35075,0.0133157
0,8,8,0.243007,0.00153376,0.00477783,0.142164,0.000886263,0.00534783,0.223310,0.00152261,0.00529575
0,9,9,0.893628,0.17476,0.0208023,0.870614,0.163643,0.0243198,0.896933,0.175404,0.0201558
0,10,10,0.993478,9.37571,0.0615484,0.992324,8.74064,0.0676081,0.993200,9.61021,0.0657965
0,11,11,0.995912,4.17517,0.0171361,0.997522,4.18552,0.0103988,0.995560,4.10119,0.0182913
1,0,12,0.511961,0.750275,0.715217,0.821203,2.63066,0.572762,0.445507,0.65103,0.810293
1,1,13,0.913709,9.01344,0.851228,0.919653,5.02313,0.438855,0.918028,10.098,0.901662
1,2,14,0.636941,1.12893,0.643495,0.877167,3.3262,0.46578,0.537694,0.799,0.686974
1,3,15,0.508840,0.629908,0.608022,0.845043,2.66896,0.489411,0.440118,0.507827,0.646017
1,4,16,0.759935,1.78011,0.562338,0.946185,3.94885,0.224594,0.735829,1.52992,0.549257
1,5,17,0.696356,0.389764,0.169955,0.873403,0.276333,0.0400536,0.672632,0.409944,0.199518
1,6,18,0.846111,0.968084,0.176073,0.949158,1.3704,0.0734067,0.835557,0.879538,0.173098
1,7,19,0.374392,0.481824,0.805125,0.329682,0.34653,0.704574,0.345413,0.516009,0.977881
1,8,20,0.924437,4.12434,0.33712,0.955568,3.69099,0.171624,0.920838,4.1436,0.356215
1,9,21,0.872521,1.57154,0.229608,0.957020,2.37951,0.106864,0.869674,1.51439,0.226942
1,10,22,0.715490,0.201875,0.0802741,0.882171,0.384361,0.0513378,0.687319,0.177708,0.0808445
1,11,23,0.506398,0.257479,0.250973,0.698947,0.397887,0.171379,0.507656,0.236111,0.228989
2,0,24,0.425319,0.233798,0.315903,0.510730,0.371023,0.355433,0.396586,0.205712,0.312995
2,1,25,0.607716,0.170576,0.110108,0.856034,0.337733,0.0567992,0.591021,0.145892,0.100956
2,2,26,0.788726,0.463619,0.124188,0.868453,0.413747,0.0626714,0.780817,0.481158,0.135066
2,3,27,0.905379,5.39637,0.563976,0.983610,10.8452,0.180711,0.894448,4.62119,0.545339
2,4,28,0.896454,7.16959,0.828131,0.980175,11.269,0.227925,0.894551,6.26424,0.738422
2,5,29,0.862675,1.86435,0.296776,0.970313,2.62927,0.0804425,0.861288,1.85359,0.298525
2,6,30,0.583330,0.213014,0.152155,0.721154,0.298752,0.115517,0.615460,0.191881,0.119887
2,7,31,0.858948,3.8294,0.628846,0.975739,9.47629,0.235616,0.836597,2.98108,0.58226
2,8,32,0.861222,3.14684,0.507083,0.976510,6.54848,0.157527,0.847342,2.64255,0.476083
2,9,33,0.827930,0.752597,0.156414,0.945309,1.09634,0.0634288,0.842046,0.752191,0.141098
2,10,34,0.583797,1.54244,1.09964,0.855485,2.77695,0.469101,0.615430,1.64768,1.02961
2,11,35,0.839454,4.34406,0.830802,0.965870,9.80901,0.346608,0.793130,3.39204,0.884736
3,0,36,0.862175,14.3232,2.28966,0.958921,14.1646,0.6068,0.857176,13.2647,2.21018
3,1,37,0.851207,0.549159,0.0959939,0.941278,0.986441,0.0615398,0.839606,0.502335,0.0959636
3,2,38,0.879962,4.2506,0.579834,0.963974,5.83122,0.21793,0.876197,4.29735,0.6072
3,3,39,0.472712,0.130023,0.145035,0.747564,0.201418,0.0680144,0.337892,0.108889,0.21337
3,4,40,0.955195,9.30511,0.436468,0.979633,8.94942,0.186065,0.952776,9.724,0.481968
3,5,41,0.648169,0.4445,0.241278,0.822804,0.702919,0.151378,0.649114,0.440618,0.238181
3,6,42,0.405883,0.264352,0.386948,0.571916,0.340856,0.255134,0.371030,0.233111,0.39517
3,7,43,0.944625,16.6803,0.977823,0.985124,21.7693,0.328722,0.946607,15.8888,0.896194
3,8,44,0.732268,0.619906,0.22665,0.864905,0.912156,0.142476,0.721534,0.546026,0.210731
3,9,45,0.548044,0.410135,0.338227,0.719416,0.511648,0.199551,0.509506,0.361913,0.348409
3,10,46,0.691938,0.220821,0.0983132,0.868543,0.414571,0.062747,0.619293,0.19128,0.117588
3,11,47,0.874872,0.539638,0.0771812,0.933820,0.872531,0.0618368,0.858495,0.472813,0.0779336
4,0,48,0.871533,2.45898,0.36246,0.936929,2.91193,0.196022,0.852981,2.26686,0.390713
4,1,49,0.535631,0.679227,0.588861,0.802715,0.807629,0.198493,0.497564,0.66471,0.671218
4,2,50,0.724662,0.928898,0.352937,0.835576,1.1338,0.223109,0.737969,0.909004,0.322761
4,3,51,0.903145,11.8791,1.27394,0.969083,13.5236,0.431443,0.900068,11.4068,1.26647
4,4,52,0.754363,0.755514,0.246011,0.889420,1.16209,0.144481,0.782822,0.767984,0.213062
4,5,53,0.866919,7.26756,1.11565,0.962672,9.58779,0.371767,0.864060,6.73033,1.05886
4,6,54,0.843954,0.238036,0.0440125,0.925053,0.304543,0.0246739,0.817505,0.207763,0.0463798
4,7,55,0.752336,0.297119,0.0978095,0.912585,0.465562,0.0445954,0.694480,0.267624,0.117735
4,8,56,0.513354,0.206334,0.195599,0.677016,0.285397,0.136154,0.462456,0.192067,0.223252
4,9,57,0.475372,0.182568,0.201486,0.653706,0.258673,0.137029,0.480917,0.170937,0.184503
4,10,58,0.848663,0.667278,0.118992,0.916933,1.04679,0.0948311,0.837830,0.589709,0.114144
4,11,59,0.619458,0.334705,0.205614,0.804529,0.641018,0.155743,0.613888,0.297012,0.18681
5,0,60,0.874310,5.68672,0.817515,0.952172,8.87156,0.445623,0.884719,5.22095,0.680303
5,1,61,0.916033,5.91757,0.542429,0.960325,8.50778,0.351487,0.908511,5.51383,0.555252
5,2,62,0.953317,8.64489,0.42333,0.979724,10.6661,0.220741,0.949703,8.65445,0.458344
5,3,63,0.473354,0.0417833,0.0464875,0.729117,0.0530328,0.0197028,0.441047,0.0408969,0.0518298
5,4,64,0.954503,5.92439,0.282389,0.990605,6.77382,0.0642431,0.955632,5.77205,0.267983
5,5,65,0.882032,0.883331,0.118142,0.952904,0.99665,0.0492576,0.859567,0.818644,0.133748
5,6,66,0.927681,4.26144,0.332206,0.971795,6.09055,0.17677,0.919874,4.11761,0.358666
5,7,67,0.875777,3.62389,0.514026,0.951450,4.83803,0.246874,0.879153,3.38681,0.465547
5,8,68,0.409034,0.106332,0.153627,0.448959,0.0953565,0.117038,0.449084,0.105355,0.129245
5,9,69,0.930483,4.78282,0.357325,0.971134,4.74602,0.141069,0.920706,4.57026,0.393606
5,10,70,0.874045,3.43654,0.495226,0.968878,5.31552,0.170744,0.878044,3.21863,0.447053
5,11,71,0.920735,2.66565,0.229484,0.979512,3.8602,0.0807437,0.921447,2.64518,0.2255
6,0,72,0.780787,0.602016,0.169021,0.897165,1.18367,0.135674,0.779719,0.59498,0.16809
6,1,73,0.535464,0.0679413,0.0589418,0.607908,0.0755945,0.0487573,0.559391,0.0630471,0.0496596
6,2,74,0.781614,0.700831,0.195815,0.897741,0.750128,0.0854445,0.725045,0.645012,0.244605
6,3,75,0.433802,0.0965049,0.125958,0.525800,0.133987,0.120838,0.378942,0.0902306,0.147881
6,4,76,0.557330,0.373892,0.296972,0.706591,0.552216,0.229305,0.483798,0.328705,0.350721
6,5,77,0.686730,0.115101,0.0525063,0.831487,0.196516,0.0398267,0.680587,0.10394,0.048781
6,6,78,0.457022,0.0679195,0.0806938,0.530735,0.101097,0.0893876,0.403201,0.06628,0.0981043
6,7,79,0.689654,0.414424,0.186492,0.916960,0.801961,0.0726255,0.721488,0.421182,0.162586
6,8,80,0.435938,0.131873,0.170631,0.530471,0.181551,0.160694,0.371868,0.0996253,0.16828
6,9,81,0.732215,0.792725,0.289915,0.888683,1.24216,0.155594,0.759244,0.821998,0.260656
6,10,82,0.486118,0.303869,0.321224,0.661055,0.402043,0.206141,0.453627,0.277103,0.333758
6,11,83,0.772606,9.29954,2.73704,0.914004,11.4932,1.08137,0.794169,8.74558,2.26666
7,0,84,0.870055,4.1933,0.62628,0.949206,6.96132,0.372511,0.891393,4.21069,0.513029
7,1,85,0.870527,1.47989,0.220103,0.928617,1.91449,0.147168,0.844177,1.38601,0.255838
7,2,86,0.802576,0.551988,0.135782,0.928749,0.83374,0.0639625,0.811154,0.464183,0.108067
7,3,87,0.752412,4.78248,1.57372,0.912259,8.21538,0.790153,0.754142,4.06907,1.32656
7,4,88,0.887912,1.46611,0.185079,0.949658,2.18769,0.11597,0.901531,1.48104,0.161766
7,5,89,0.280465,0.11877,0.304705,0.377326,0.133934,0.221022,0.274421,0.104869,0.277279
7,6,90,0.583267,0.259776,0.185605,0.608373,0.413515,0.266192,0.547000,0.252406,0.209031
7,7,91,0.933847,1.62648,0.115218,0.965694,2.29363,0.0814807,0.917821,1.53448,0.137393
7,8,92,0.725871,8.47973,3.20241,0.910711,10.0613,0.986445,0.711006,7.9251,3.22122
7,9,93,0.691630,0.436887,0.19479,0.792734,0.527212,0.137843,0.656388,0.361578,0.189283
7,10,94,0.442685,0.0393228,0.0495052,0.739750,0.116323,0.0409234,0.391041,0.0305179,0.0475248
7,11,95,0.636835,0.131425,0.0749471,0.706829,0.200622,0.083212,0.615424,0.103913,0.0649352
8,0,96,0.886454,3.09829,0.396859,0.925628,4.95658,0.398249,0.851503,2.8122,0.490431
8,1,97,0.906854,2.54442,0.261345,0.954634,3.08162,0.146445,0.910224,2.48003,0.244608
8,2,98,0.899597,1.16227,0.12972,0.940931,1.6082,0.100958,0.888414,1.11355,0.139864
8,3,99,0.886688,3.80484,0.48623,0.929964,6.18543,0.46583,0.857370,3.45663,0.575034
8,4,100,0.841214,5.11649,0.96578,0.904088,8.50203,0.901959,0.833999,4.58223,0.91206
8,5,101,0.912524,4.14996,0.397823,0.975940,7.24183,0.178537,0.909063,4.09341,0.409482
8,6,102,0.486788,0.0863394,0.091026,0.574130,0.10274,0.0762086,0.484548,0.0912082,0.0970256
8,7,103,0.864342,0.803947,0.126179,0.940612,1.29112,0.081518,0.870384,0.819172,0.12199
