layer,agreement,flip_rate,ours_anchor,ours_wave,ours_veil,ref_anchor,ref_wave,ref_veil
0,0.833333,0.082031,6,6,0,4,8,0
1,0.916667,0.049479,3,9,0,2,10,0
2,0.833333,0.085938,4,7,1,2,9,1
3,1.000000,0.020833,5,7,0,5,7,0
4,1.000000,0.100260,5,6,1,5,6,1
5,0.916667,0.061198,2,10,0,1,11,0
6,0.916667,0.130208,6,4,2,6,5,1
7,0.916667,0.087240,6,4,2,5,5,2
8,1.000000,0.130208,3,7,2,3,7,2
9,0.916667,0.135417,5,5,2,4,6,2
10,1.000000,0.130208,8,3,1,8,3,1
11,1.000000,0.083333,7,3,2,7,3,2
12,1.000000,0.082031,4,6,2,4,6,2
13,1.000000,0.054688,9,1,2,9,1,2
14,1.000000,0.085938,7,3,2,7,3,2
15,1.000000,0.084635,10,1,1,10,1,1
16,1.000000,0.108073,7,4,1,7,4,1
17,0.833333,0.188802,3,6,3,3,8,1
18,0.833333,0.126302,12,0,0,10,2,0
19,0.916667,0.119792,7,3,2,6,4,2
20,1.000000,0.011719,4,8,0,4,8,0
21,1.000000,0.065104,6,5,1,6,5,1
22,0.833333,0.122396,8,1,3,9,1,2
23,1.000000,0.105469,7,3,2,7,3,2
24,0.916667,0.171875,7,3,2,7,4,1
25,0.916667,0.065104,7,4,1,6,5,1
26,1.000000,0.049479,7,4,1,7,4,1
27,1.000000,0.033854,6,5,1,6,5,1
28,0.916667,0.053385,6,6,0,7,5,0
29,0.916667,0.066406,6,6,0,5,7,0
