alpha,beta,flip_rate,agreement_with_reference
0.6,5.0,0.050998,0.566667
0.6,5.2,0.050998,0.566667
0.6,5.4,0.051128,0.566667
0.6,5.6,0.051128,0.566667
0.6,5.8,0.051215,0.566667
0.6,6.0,0.051215,0.566667
0.6,6.2,0.094705,0.763889
0.6,6.4,0.094705,0.763889
0.6,6.6,0.094705,0.763889
0.6,6.8,0.094705,0.763889
0.6,7.0,0.095052,0.763889
0.6,7.2,0.095052,0.763889
0.6,7.4,0.095052,0.763889
0.6,7.6,0.095182,0.763889
0.6,7.8,0.095182,0.763889
0.6,8.0,0.095182,0.763889
0.6,8.2,0.095182,0.763889
0.6,8.4,0.095182,0.763889
0.6,8.6,0.095530,0.766667
0.6,8.8,0.095530,0.766667
0.6,9.0,0.095530,0.766667
0.625,5.0,0.051866,0.566667
0.625,5.2,0.051866,0.566667
0.625,5.4,0.052040,0.566667
0.625,5.6,0.052040,0.566667
0.625,5.8,0.052127,0.566667
0.625,6.0,0.052127,0.566667
0.625,6.2,0.092014,0.805556
0.625,6.4,0.092014,0.805556
0.625,6.6,0.092014,0.805556
0.625,6.8,0.092014,0.805556
0.625,7.0,0.092708,0.805556
0.625,7.2,0.092708,0.805556
0.625,7.4,0.092708,0.805556
0.625,7.6,0.092882,0.805556
0.625,7.8,0.092882,0.805556
0.625,8.0,0.092882,0.805556
0.625,8.2,0.092882,0.805556
0.625,8.4,0.092882,0.805556
0.625,8.6,0.093490,0.805556
0.625,8.8,0.093490,0.805556
0.625,9.0,0.093490,0.805556
0.65,5.0,0.052214,0.566667
0.65,5.2,0.052214,0.566667
0.65,5.4,0.052387,0.566667
0.65,5.6,0.052387,0.566667
0.65,5.8,0.052517,0.566667
0.65,6.0,0.052517,0.566667
0.65,6.2,0.088672,0.811111
0.65,6.4,0.088672,0.811111
0.65,6.6,0.088672,0.811111
0.65,6.8,0.088672,0.811111
0.65,7.0,0.089497,0.811111
0.65,7.2,0.089497,0.811111
0.65,7.4,0.089497,0.811111
0.65,7.6,0.089670,0.811111
0.65,7.8,0.089670,0.811111
0.65,8.0,0.089670,0.811111
0.65,8.2,0.089670,0.811111
0.65,8.4,0.089670,0.811111
0.65,8.6,0.090408,0.811111
0.65,8.8,0.090408,0.811111
0.65,9.0,0.090408,0.811111
0.675,5.0,0.053342,0.566667
0.675,5.2,0.053342,0.566667
0.675,5.4,0.053646,0.566667
0.675,5.6,0.053646,0.566667
0.675,5.8,0.053776,0.566667
0.675,6.0,0.053776,0.566667
0.675,6.2,0.090234,0.833333
0.675,6.4,0.090234,0.833333
0.675,6.6,0.090234,0.833333
0.675,6.8,0.090234,0.833333
0.675,7.0,0.091059,0.833333
0.675,7.2,0.091059,0.833333
0.675,7.4,0.091059,0.833333
0.675,7.6,0.091233,0.833333
0.675,7.8,0.091233,0.833333
0.675,8.0,0.091233,0.833333
0.675,8.2,0.091233,0.833333
0.675,8.4,0.091233,0.833333
0.675,8.6,0.092057,0.836111
0.675,8.8,0.092057,0.836111
0.675,9.0,0.092057,0.836111
0.7,5.0,0.054644,0.566667
0.7,5.2,0.054644,0.566667
0.7,5.4,0.054991,0.566667
0.7,5.6,0.054991,0.566667
0.7,5.8,0.055122,0.566667
0.7,6.0,0.055122,0.566667
0.7,6.2,0.092839,0.863889
0.7,6.4,0.092839,0.863889
0.7,6.6,0.092839,0.863889
0.7,6.8,0.092839,0.863889
0.7,7.0,0.093880,0.866667
0.7,7.2,0.093880,0.866667
0.7,7.4,0.093880,0.866667
0.7,7.6,0.094141,0.866667
0.7,7.8,0.094141,0.866667
0.7,8.0,0.094141,0.866667
0.7,8.2,0.094141,0.866667
0.7,8.4,0.094141,0.866667
0.7,8.6,0.095052,0.875000
0.7,8.8,0.095052,0.875000
0.7,9.0,0.095052,0.875000
0.725,5.0,0.055903,0.566667
0.725,5.2,0.055903,0.566667
0.725,5.4,0.056467,0.566667
0.725,5.6,0.056467,0.566667
0.725,5.8,0.056684,0.566667
0.725,6.0,0.056684,0.566667
0.725,6.2,0.091493,0.911111
0.725,6.4,0.091493,0.911111
0.725,6.6,0.091493,0.911111
0.725,6.8,0.091493,0.911111
0.725,7.0,0.092057,0.911111
0.725,7.2,0.092057,0.911111
0.725,7.4,0.092057,0.911111
0.725,7.6,0.092405,0.911111
0.725,7.8,0.092405,0.911111
0.725,8.0,0.092405,0.911111
0.725,8.2,0.092405,0.911111
0.725,8.4,0.092405,0.911111
0.725,8.6,0.092665,0.916667
0.725,8.8,0.092665,0.916667
0.725,9.0,0.092665,0.916667
0.75,5.0,0.056597,0.566667
0.75,5.2,0.056597,0.566667
0.75,5.4,0.057161,0.566667
0.75,5.6,0.057161,0.566667
0.75,5.8,0.057422,0.566667
0.75,6.0,0.057422,0.566667
0.75,6.2,0.088151,0.916667
0.75,6.4,0.088151,0.916667
0.75,6.6,0.088151,0.916667
0.75,6.8,0.088151,0.916667
0.75,7.0,0.088542,0.916667
