season,elim_weeks,elim_consistency,smooth_pairs,smooth_penalty,smooth_score,lambda,delta_thr,final_score
1,4,1.0,20,0.021114092297197885,0.9788859077028021,0.5,0.15,0.989442953851401
2,7,1.0,42,0.005796038449676047,0.994203961550324,0.5,0.15,0.997101980775162
3,8,1.0,53,0.00860737529075149,0.9913926247092485,0.5,0.15,0.9956963123546243
4,8,1.0,63,0.005364924985748658,0.9946350750142513,0.5,0.15,0.9973175375071257
5,9,1.0,63,0.0038034265651304905,0.9961965734348696,0.5,0.15,0.9980982867174347
6,8,1.0,64,0.0037414427734694033,0.9962585572265306,0.5,0.15,0.9981292786132653
7,8,1.0,62,0.0037499545398193223,0.9962500454601807,0.5,0.15,0.9981250227300903
8,9,1.0,78,0.002845320149207725,0.9971546798507923,0.5,0.15,0.9985773399253961
9,9,1.0,76,0.0027268963322859374,0.997273103667714,0.5,0.15,0.998636551833857
10,8,1.0,63,0.003946217879970928,0.996053782120029,0.5,0.15,0.9980268910600145
11,9,1.0,63,0.002827098827947621,0.9971729011720524,0.5,0.15,0.9985864505860262
12,8,1.0,63,0.003836256901848662,0.9961637430981514,0.5,0.15,0.9980818715490757
13,9,1.0,63,0.0039120515033324674,0.9960879484966675,0.5,0.15,0.9980439742483338
14,8,1.0,70,0.002631976240468737,0.9973680237595313,0.5,0.15,0.9986840118797656
15,7,1.0,70,0.0016355584262805172,0.9983644415737195,0.5,0.15,0.9991822207868597
16,8,1.0,72,0.0018352725166444102,0.9981647274833556,0.5,0.15,0.9990823637416778
17,8,1.0,80,0.0010686909951577474,0.9989313090048423,0.5,0.15,0.9994656545024211
18,7,1.0,68,0.0010581021675192957,0.9989418978324807,0.5,0.15,0.9994709489162403
19,9,1.0,81,0.0019219149152277354,0.9980780850847722,0.5,0.15,0.9990390425423862
20,8,1.0,70,0.0028081529728032325,0.9971918470271968,0.5,0.15,0.9985959235135984
21,6,1.0,80,0.0006154878382585516,0.9993845121617414,0.5,0.15,0.9996922560808708
22,7,1.0,73,0.0023495802861978545,0.9976504197138022,0.5,0.15,0.998825209856901
23,8,1.0,84,0.0013740330913258399,0.9986259669086741,0.5,0.15,0.9993129834543371
24,8,1.0,69,0.0030155556228512246,0.9969844443771487,0.5,0.15,0.9984922221885744
25,7,1.0,77,0.001433231674838301,0.9985667683251617,0.5,0.15,0.9992833841625809
26,3,1.0,17,0.006916916044888913,0.9930830839551111,0.5,0.15,0.9965415419775555
27,7,1.0,69,0.00088084972306285,0.9991191502769371,0.5,0.15,0.9995595751384686
28,7,0.7142857142857143,80,0.00023663355758586147,0.9997633664424141,0.5,0.15,0.7141673975069214
29,9,0.8888888888888888,100,0.001044147776553385,0.9989558522234466,0.5,0.15,0.8883668150006121
30,8,1.0,90,0.0019420087602497556,0.9980579912397503,0.5,0.15,0.9990289956198751
31,9,1.0,91,0.0005597652760211609,0.9994402347239788,0.5,0.15,0.9997201173619894
32,9,0.7777777777777778,86,0.0,1.0,0.5,0.15,0.7777777777777778
33,6,0.8333333333333334,64,0.0011412061072245232,0.9988587938927754,0.5,0.15,0.8327627302797211
34,8,1.0,92,0.0004197939405840401,0.999580206059416,0.5,0.15,0.9997901030297079
