season,week,n_active,n_elim,actual_elim,pred_elim,consistent
1,2,6,1,Trista Sutter,Trista Sutter,1
1,3,5,1,Evander Holyfield,Evander Holyfield,1
1,4,4,1,Rachel Hunter,Rachel Hunter,1
1,5,3,1,Joey McIntyre,Joey McIntyre,1
2,1,10,1,Kenny Mayne,Kenny Mayne,1
2,2,9,1,Tatum O'Neal,Tatum O'Neal,1
2,3,8,1,Giselle Fernandez,Giselle Fernandez,1
2,4,7,1,Master P,Master P,1
2,5,6,1,Tia Carrere,Tia Carrere,1
2,6,5,1,George Hamilton,George Hamilton,1
2,7,4,1,Lisa Rinna,Lisa Rinna,1
3,1,11,1,Tucker Carlson,Tucker Carlson,1
3,2,10,1,Shanna Moakler,Shanna Moakler,1
3,3,9,1,Harry Hamlin,Harry Hamlin,1
3,4,8,1,Vivica A. Fox,Vivica A. Fox,1
3,5,7,2,Willa Ford | Sara Evans,Sara Evans | Willa Ford,1
3,7,5,1,Jerry Springer,Jerry Springer,1
3,8,4,1,Monique Coleman,Monique Coleman,1
3,9,3,1,Joey Lawrence,Joey Lawrence,1
4,2,11,1,Paulina Porizkova,Paulina Porizkova,1
4,3,10,1,Shandi Finnessey,Shandi Finnessey,1
4,4,9,1,Leeza Gibbons,Leeza Gibbons,1
4,5,8,1,Clyde Drexler,Clyde Drexler,1
4,6,7,1,Heather Mills,Heather Mills,1
4,7,6,1,John Ratzenberger,John Ratzenberger,1
4,8,5,1,Billy Ray Cyrus,Billy Ray Cyrus,1
4,9,4,1,Ian Ziering,Ian Ziering,1
5,1,12,1,Josie Maran,Josie Maran,1
5,2,11,1,Albert Reed,Albert Reed,1
5,3,10,1,Wayne Newton,Wayne Newton,1
5,4,9,1,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,1
5,5,8,1,Mark Cuban,Mark Cuban,1
5,6,7,1,Sabrina Bryan,Sabrina Bryan,1
5,7,6,1,Jane Seymour,Jane Seymour,1
5,8,5,1,Cameron Mathison,Cameron Mathison,1
5,9,4,1,Jennie Garth,Jennie Garth,1
6,2,12,2,Monica Seles | Penn Jillette,Monica Seles | Penn Jillette,1
6,3,10,1,Steve Guttenberg,Steve Guttenberg,1
6,4,9,1,Adam Carolla,Adam Carolla,1
6,5,8,1,Priscilla Presley,Priscilla Presley,1
6,6,7,1,Marlee Matlin,Marlee Matlin,1
6,7,6,1,Shannon Elizabeth,Shannon Elizabeth,1
6,8,5,1,Mario,Mario,1
6,9,4,1,Marissa Jaret Winokur,Marissa Jaret Winokur,1
7,1,13,2,Ted McGinley | Jeffrey Ross,Jeffrey Ross | Ted McGinley,1
7,2,11,2,Misty May-Treanor | Kim Kardashian,Kim Kardashian | Misty May-Treanor,1
7,4,9,1,Rocco DiSpirito,Rocco DiSpirito,1
7,5,8,1,Toni Braxton,Toni Braxton,1
7,6,7,1,Cloris Leachman,Cloris Leachman,1
7,7,6,1,Susan Lucci,Susan Lucci,1
7,8,5,1,Maurice Greene,Maurice Greene,1
7,9,4,1,Cody Linley,Cody Linley,1
8,2,13,1,Belinda Carlisle,Belinda Carlisle,1
8,3,12,1,Denise Richards,Denise Richards,1
8,4,11,2,Steve Wozniak | Holly Madison,Steve Wozniak | Holly Madison,1
8,5,9,1,David Alan Grier,David Alan Grier,1
8,6,8,1,Steve-O,Steve-O,1
8,7,7,1,Lawrence Taylor,Lawrence Taylor,1
8,8,6,1,Chuck Wicks,Chuck Wicks,1
8,9,5,1,Lil' Kim,Lil' Kim,1
8,10,4,1,Ty Murray,Ty Murray,1
9,1,16,2,Ashley Hamiliton | Macy Gray,Macy Gray | Ashley Hamiliton,1
9,2,14,1,Kathy Ireland,Kathy Ireland,1
9,3,13,2,Debi Mazar | Tom DeLay,Tom DeLay | Debi Mazar,1
9,4,11,1,Chuck Liddell,Chuck Liddell,1
9,5,10,1,Natalie Coughlin,Natalie Coughlin,1
9,6,9,2,Melissa Joan Hart | Louie Vito,Melissa Joan Hart | Louie Vito,1
9,7,7,2,Mark Dacascos | Michael Irvin,Mark Dacascos | Michael Irvin,1
9,8,5,1,Aaron Carter,Aaron Carter,1
9,9,4,1,Joanna Krupa,Joanna Krupa,1
10,2,11,1,Shannen Doherty,Shannen Doherty,1
10,3,10,1,Buzz Aldrin,Buzz Aldrin,1
10,4,9,1,Aiden Turner,Aiden Turner,1
10,5,8,1,Kate Gosselin,Kate Gosselin,1
10,6,7,1,Jake Pavelka,Jake Pavelka,1
10,7,6,1,Pamela Anderson,Pamela Anderson,1
10,8,5,1,Niecy Nash,Niecy Nash,1
10,9,4,1,Chad Ochocinco,Chad Ochocinco,1
11,1,12,1,David Hasselhoff,David Hasselhoff,1
11,2,11,1,Michael Bolton,Michael Bolton,1
11,3,10,1,Margaret Cho,Margaret Cho,1
11,4,9,1,The Situation,The Situation,1
11,5,8,1,Florence Henderson,Florence Henderson,1
11,6,7,1,Audrina Patridge,Audrina Patridge,1
11,7,6,1,Rick Fox,Rick Fox,1
11,8,5,1,Kurt Warner,Kurt Warner,1
11,9,4,1,Brandy,Brandy,1
12,2,11,1,Mike Catherwood,Mike Catherwood,1
12,3,10,1,Wendy Williams,Wendy Williams,1
12,4,9,1,Sugar Ray Leonard,Sugar Ray Leonard,1
12,5,8,1,Petra Nemcova,Petra Nemcova,1
12,6,7,1,Chris Jericho,Chris Jericho,1
12,7,6,1,Kendra Wilkinson,Kendra Wilkinson,1
12,8,5,1,Romeo,Romeo,1
12,9,4,1,Ralph Macchio,Ralph Macchio,1
13,1,12,1,Metta World Peace (Ron),Metta World Peace (Ron),1
13,2,11,1,Elisabetta Canalis,Elisabetta Canalis,1
13,3,10,1,Kristin Cavallari,Kristin Cavallari,1
13,4,9,1,Chynna Phillips,Chynna Phillips,1
13,5,8,1,Carson Kressley,Carson Kressley,1
13,6,7,1,Chaz Bono,Chaz Bono,1
13,7,6,1,David Arquette,David Arquette,1
13,8,5,1,Nancy Grace,Nancy Grace,1
13,9,4,1,Hope Solo,Hope Solo,1
14,2,12,1,Martina Navratilova,Martina Navratilova,1
14,3,11,1,Jack Wagner,Jack Wagner,1
14,4,10,1,Sherri Sheperd,Sherri Sheperd,1
14,5,9,1,Gavin DeGraw,Gavin DeGraw,1
14,6,8,1,Gladys Knight,Gladys Knight,1
14,7,7,1,Jaleel White,Jaleel White,1
14,8,6,2,Roshon Fegan | Melissa Gilbert,Melissa Gilbert | Roshon Fegan,1
14,9,4,1,Maria Menounos,Maria Menounos,1
15,1,13,1,Pamela Anderson,Pamela Anderson,1
15,2,12,1,Joey Fatone,Joey Fatone,1
15,3,11,2,Helio Castroneves | Drew Lachey,Drew Lachey | Helio Castroneves,1
15,4,9,1,Bristol Palin,Bristol Palin,1
15,6,8,1,Sabrina Bryan,Sabrina Bryan,1
15,8,7,2,Gilles Marini | Kirstie Alley,Kirstie Alley | Gilles Marini,1
15,9,5,2,Apolo Anton Ohno | Emmitt Smith,Emmitt Smith | Apolo Anton Ohno,1
16,2,12,1,Dorothy Hamill,Dorothy Hamill,1
16,3,11,1,Wynonna Judd,Wynonna Judd,1
16,4,10,1,Lisa Vanderpump,Lisa Vanderpump,1
16,5,9,1,D. L. Hughley,D. L. Hughley,1
16,6,8,1,Victor Ortiz,Victor Ortiz,1
16,7,7,1,Andy Dick,Andy Dick,1
16,8,6,1,Sean Lowe,Sean Lowe,1
16,9,5,1,Ingo Rademacher,Ingo Rademacher,1
17,2,12,1,Keyshawn Johnson,Keyshawn Johnson,1
17,3,11,1,Bill Nye,Bill Nye,1
17,4,10,1,Valerie Harper,Valerie Harper,1
17,5,9,1,Christina Milian,Christina Milian,1
17,7,8,1,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",1
17,8,7,1,Brant Daugherty,Brant Daugherty,1
17,9,6,1,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,1
17,10,5,1,Leah Remini,Leah Remini,1
18,1,12,1,Diana Nyad,Diana Nyad,1
18,2,11,2,Billy Dee Williams | Sean Avery,Billy Dee Williams | Sean Avery,1
18,5,9,1,Cody Simpson,Cody Simpson,1
18,6,8,1,Drew Carey,Drew Carey,1
18,7,7,1,NeNe Leakes,NeNe Leakes,1
18,8,6,1,Danica McKellar,Danica McKellar,1
18,9,5,1,Charlie White,Charlie White,1
19,1,13,1,Lolo Jones,Lolo Jones,1
