season,week,celebrity_name,V_mean,V_std,V_iqr,n_runs
1,1,Evander Holyfield,0.1651376146788991,0.0,0.0,27
1,1,Joey McIntyre,0.1834862385321101,0.0,0.0,27
1,1,John O'Hurley,0.1834862385321101,0.0,0.0,27
1,1,Kelly Monaco,0.11926605504587157,0.0,0.0,27
1,1,Rachel Hunter,0.1834862385321101,0.0,0.0,27
1,1,Trista Sutter,0.1651376146788991,0.0,0.0,27
1,2,Evander Holyfield,0.250627074407977,0.019488678696354164,0.022364931299700047,27
1,2,Joey McIntyre,0.19287409636806327,0.003506071882050492,0.004227223914663569,27
1,2,John O'Hurley,0.15967215450442482,0.014075556305709261,0.01783515920387324,27
1,2,Kelly Monaco,0.2253447447222254,0.00862975085384183,0.010588472628972556,27
1,2,Rachel Hunter,0.17148185179513875,0.010640055501188012,0.01232423951184028,27
1,2,Trista Sutter,7.820217082576117e-08,1.1753975752786278e-07,2.3495399664273417e-08,27
1,3,Evander Holyfield,0.01581643192797761,0.022788756506365113,0.04666326694543107,27
1,3,Joey McIntyre,0.25794526719648314,0.007020736069655623,0.007332788208571306,27
1,3,John O'Hurley,0.23804905527953185,0.006223777953945125,0.009555896625135424,27
1,3,Kelly Monaco,0.26840358171847006,0.009613528340396218,0.008407787783886456,27
1,3,Rachel Hunter,0.21978566387753734,0.009981173955406378,0.012297293609616983,27
1,4,Joey McIntyre,0.3705523253162171,0.017788291896159172,0.02883406765204316,27
1,4,John O'Hurley,0.3544827427730685,0.011400401743748689,0.015469012776180402,27
1,4,Kelly Monaco,0.2708774292945707,0.02484806678180172,0.03376693398328551,27
1,4,Rachel Hunter,0.004087502616143674,0.009875783297203523,0.0003890673686938355,27
1,5,Joey McIntyre,0.13062557084904383,0.05730131093133558,0.10467355692701694,27
1,5,John O'Hurley,0.39468604679862174,0.026846539895953675,0.05013646618738682,27
1,5,Kelly Monaco,0.4746883823523344,0.0405745224032742,0.04199106234897293,27
1,6,John O'Hurley,0.4708045541170332,0.012233156900451547,0.02117708491748166,27
1,6,Kelly Monaco,0.5291954458829667,0.012233156900451554,0.021177084917481714,27
2,1,Drew Lachey,0.10080213007922163,0.004854562846536896,0.0053945393523567725,27
2,1,George Hamilton,0.11723632475752026,0.0028272698312394907,0.0031888151048427432,27
2,1,Giselle Fernandez,0.10333719795281106,0.00371116078504948,0.004172772271344452,27
2,1,Jerry Rice,0.10868903640230496,0.0012455895914955837,0.0014586301767156584,27
2,1,Kenny Mayne,5.5503374812896205e-09,4.471355972780213e-09,4.842690181066191e-09,27
2,1,Lisa Rinna,0.11433476758808686,0.0014284566491999952,0.0015561902039873676,27
2,1,Master P,0.1348149352630548,0.011707306025431104,0.013337677956063582,27
2,1,Stacy Keibler,0.1059689260450195,0.002506678061933087,0.002865389470725191,27
2,1,Tatum O'Neal,0.10333624585615409,0.0037104197925529607,0.004195895485138115,27
2,1,Tia Carrere,0.1114804305054894,0.00010563062846072819,0.00012892961955715543,27
2,2,Drew Lachey,0.1125721863336172,0.005453833638455212,0.006783866054637322,27
2,2,George Hamilton,0.1272210719715542,0.0008659731132709154,0.0009279034440625167,27
2,2,Giselle Fernandez,0.12107627565166645,0.0018416803672531943,0.002493796362423459,27
2,2,Jerry Rice,0.12412185780350804,0.0005358523468207299,0.0006073885255528516,27
2,2,Lisa Rinna,0.13360324396903633,0.003735430043142076,0.004719055442512332,27
2,2,Master P,0.1466642683198122,0.009877383500201883,0.01278301439969895,27
2,2,Stacy Keibler,0.10751919469924515,0.00751760053132267,0.009157691357499498,27
2,2,Tatum O'Neal,3.322635401952735e-08,2.5267824865633644e-08,1.6642008552547134e-08,27
2,2,Tia Carrere,0.12722186802520644,0.000866752634734579,0.0009235069623057812,27
2,3,Drew Lachey,0.12749835687122935,0.0063641219975107315,0.008613501347754862,27
2,3,George Hamilton,0.14553431809609238,0.0008907577515099256,0.0009751651892609403,27
2,3,Giselle Fernandez,6.786945227345141e-09,3.231902873551817e-09,4.687165291558019e-09,27
2,3,Jerry Rice,0.1573490038780392,0.005841306141879386,0.008114527702835328,27
2,3,Lisa Rinna,0.1343428462957668,0.003684255757699807,0.0052446576091656205,27
